CBU Origen, Fecha de operacion, Hora de operacion, Tipo de operacion, Monto
50333761,2024-12-10,23:29:08,Deposito,2000000.0
82503730,2024-12-10,23:30:15,Deposito,500000.0
105553529,2024-12-10,23:30:49,Deposito,325000.0
50333761,2024-12-11,00:54:26,Transferencia enviada,1530000.0
82503730,2024-12-11,00:54:26,Transferencia recibida,1500000.0
82503730,2024-12-11,02:14:01,Transferencia enviada,1632000.0
50333761,2024-12-11,02:14:01,Transferencia recibida,1600000.0
50333761,2024-12-11,10:51:38,Deposito,2000000.0
50333761,2024-12-11,18:21:38,Transferencia enviada (Banelco),2040000.0
50333761,2024-12-11,18:34:37,Deposito,2000000.0
50333761,2024-12-11,18:39:28,Deposito,2000000.0
50333761,2024-12-11,18:44:59,Transferencia enviada,1000000.0
89803929,2024-12-11,18:44:59,Transferencia recibida,1000000.0
50333761,2024-12-11,18:44:59,Comision aplicada,0.0
50333761,2024-12-11,18:48:52,Transferencia enviada,350000.0
89803929,2024-12-11,18:48:52,Transferencia recibida,350000.0
86826701,2024-12-15,12:02:03,Deposito,100000.0
50333761,2024-12-17,17:24:20,Transferencia enviada,1500.0
89803929,2024-12-17,17:24:20,Transferencia recibida,1500.0
50333761,2024-12-17,17:24:36,Transferencia enviada,2000001.0
89803929,2024-12-17,17:24:36,Transferencia recibida,2000001.0
50333761,2024-12-17,17:24:36,Comisión aplicada,400000.2000000002
50333761,2024-12-17,17:32:33,Transferencia enviada,2000001.0
89803929,2024-12-17,17:32:33,Transferencia recibida,2000001.0
50333761,2024-12-17,17:32:33,Comisión aplicada,400000.2000000002
